id,split,language,source,text,expression,matched_expression,span_start,span_end,token_span_start,token_span_end,num_tokens,label,label_2,iob2_tags,char_mask
1008,train,he,inhouse,לאחר שפרענו את ההלוואה סגרנו חשבון חיסכון כדי להצליח לשמור כסף לעתיד.,סגר חשבון,סגרנו חשבון,23,34,4,6,12,מילולי,0,O O O O B-IDIOM I-IDIOM O O O O O O,000000000000000000000001111111111100000000000000000000000000000000000
1009,train,he,inhouse,"אחרי שהבינה עד כמה היא תלויה בלייקים, היא סגרה את החשבון והחליטה שמיקוד בלימודים שווה יותר מכל מדד וירטואלי של הערכה עצמית.",סגר חשבון,סגרה את החשבון,42,56,8,11,22,מילולי,0,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O,000000000000000000000000000000000000000000111111111111110000000000000000000000000000000000000000000000000000000000000000000
1010,validation,he,inhouse,"הוא סגר חשבון מט""ח אחרי שחזר לארץ מטיול ארוך.",סגר חשבון,סגר חשבון,4,13,1,3,9,מילולי,0,O B-IDIOM I-IDIOM O O O O O O,000011111111100000000000000000000000000000000
1011,train,he,inhouse,"בעקבות סיום השותפות העסקית, הם סגרו חשבון משותף.",סגר חשבון,סגרו חשבון,31,41,5,7,8,מילולי,0,O O O O O B-IDIOM I-IDIOM O,000000000000000000000000000000011111111110000000
1012,train,he,inhouse,החייל חזר מהשירות וניגש לסגור חשבון צבאי ישן.,סגר חשבון,לסגור חשבון,24,35,4,6,8,מילולי,0,O O O O B-IDIOM I-IDIOM O O,000000000000000000000000111111111110000000000
1013,train,he,inhouse,"אל תתעלם מהתחושות שלך כשאתה לא סומך על אתר קניות – היא סגרה את החשבון ברגע שראתה שהאתר לא משתמש באבטחה טובה, מה שהציל אותה מניסיון הונאה אפשרי.",סגר חשבון,סגרה את החשבון,55,69,12,15,28,מילולי,0,O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O,00000000000000000000000000000000000000000000000000000001111111111111100000000000000000000000000000000000000000000000000000000000000000000000000
1014,test,he,inhouse,"הלקוח רצה להשקיע בנדל""ן וסגר חשבון פיקדון שהיה פתוח מזמן.",סגר חשבון,וסגר חשבון,24,34,4,6,10,מילולי,0,O O O O B-IDIOM I-IDIOM O O O O,000000000000000000000000111111111100000000000000000000000
1015,train,he,inhouse,בני הזוג סגרו חשבון ישן כדי לפתוח חדש אחרי החתונה.,סגר חשבון,סגרו חשבון,9,19,2,4,10,מילולי,0,O O B-IDIOM I-IDIOM O O O O O O,00000000011111111110000000000000000000000000000000
1016,train,he,inhouse,אבא שלי העביר את הכסף להשקעה לאחר שסגר חשבון חיסכון שפתח לילדים מזמן כשלא הבין הרבה בתחום.,סגר חשבון,שסגר חשבון,34,44,7,9,17,מילולי,0,O O O O O O O B-IDIOM I-IDIOM O O O O O O O O,000000000000000000000000000000000011111111110000000000000000000000000000000000000000000000
1017,train,he,inhouse,"אם היא לא הייתה מתקשרת לשירות הלקוחות ובודקת שנסגר החשבון באמת, החשבון הישן שלה היה נשאר פעיל, ופרטים רגישים יכלו לדלוף לגורמים לא רצויים.",סגר חשבון,שנסגר החשבון,45,57,8,10,24,מילולי,0,O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O,000000000000000000000000000000000000000000000111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000
1018,validation,he,inhouse,אחרי דור שלם של נאמנות המשפחה סגרה חשבון בבנק הוותיק וזה היה רגע טראגי.,סגר חשבון,סגרה חשבון,30,40,6,8,14,מילולי,0,O O O O O O B-IDIOM I-IDIOM O O O O O O,00000000000000000000000000000011111111110000000000000000000000000000000
1019,train,he,inhouse,"אחרי שניסה עשר פעמים לשחזר את הסיסמה, הוא התעצבן וסגר את החשבון ואמר שעדיף לו להתחיל מאפס מאשר להתעסק עם שירות לקוחות אוטומטי שלא מבין מילה בעברית.",סגר חשבון,וסגר את החשבון,49,63,9,12,27,מילולי,0,O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,000000000000000000000000000000000000000000000000011111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1020,validation,he,inhouse,העובד סגר חשבון פנסיוני ישן אחרי שהחליף מקום עבודה.,סגר חשבון,סגר חשבון,6,15,1,3,9,מילולי,0,O B-IDIOM I-IDIOM O O O O O O,000000111111111000000000000000000000000000000000000
1021,train,he,inhouse,"כדי לא לשלם דמי מנוי חודשיים, סגרנו חשבון באפליקציה.",סגר חשבון,סגרנו חשבון,30,41,6,8,9,מילולי,0,O O O O O O B-IDIOM I-IDIOM O,0000000000000000000000000000001111111111100000000000
1022,validation,he,inhouse,"לאחר שחדלה לפעול, היא סגרה חשבון של עמותה שהתחברה אליה כלכך.",סגר חשבון,סגרה חשבון,22,32,4,6,11,מילולי,0,O O O O B-IDIOM I-IDIOM O O O O O,000000000000000000000011111111110000000000000000000000000000
1023,train,he,inhouse,הוא הגיע לסניף עם תעודה מזהה וסגר חשבון קיים במקום.,סגר חשבון,וסגר חשבון,29,39,6,8,10,מילולי,0,O O O O O O B-IDIOM I-IDIOM O O,000000000000000000000000000001111111111000000000000
1024,train,he,inhouse,"אם היא לא הייתה סוגרת את החשבון הדיגיטלי הישן בבנק, היא לא הייתה מגלה שהבנק החדש מציע אפליקציה חכמה יותר שמעדכנת אותה על כל הוצאה בזמן אמת.",סגר חשבון,סוגרת את החשבון,16,31,4,7,27,מילולי,0,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,0000000000000000111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1025,train,he,inhouse,"אל תתמהר לסגור חשבון בנק לפני שאתה משווה עמלות וריביות, כי הם סגרו בבוקר בחופזה וגילו בערב שהבנק החדש בכלל לא מציע הטבות כמו שהובטח בפרסום.",סגר חשבון,לסגור חשבון,9,20,2,4,26,מילולי,0,O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O,0000000001111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1026,train,he,inhouse,היא נכנסה לאתר והגישה בקשה לסגור את החשבון האישי שלה.,סגר חשבון,לסגור את החשבון,27,42,5,8,10,מילולי,0,O O O O O B-IDIOM I-IDIOM I-IDIOM O O,00000000000000000000000000011111111111111100000000000
1027,train,he,inhouse,אחרי שהבנתי שאני בודק את הטלפון שלושים פעמים ביום סגרתי את החשבון באינסטאגרם ואז הרגשתי כאילו המוח שלי סוף סוף חזר לנשום בלי התרעות.,סגר חשבון,סגרתי את החשבון,50,65,9,12,24,מילולי,0,O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,000000000000000000000000000000000000000000000000001111111111111110000000000000000000000000000000000000000000000000000000000000000000
1028,test,he,inhouse,"כשעבר לעבוד כשכיר, הוא סגר את החשבון העסקי.",סגר חשבון,סגר את החשבון,23,36,4,7,8,מילולי,0,O O O O B-IDIOM I-IDIOM I-IDIOM O,0000000000000000000000011111111111110000000
1029,train,he,inhouse,"אם הילדים לא היו עוזרים לסבתא לסגור את החשבון הדיגיטלי הישן שלה, ייתכן שהייתה נופלת קורבן להונאה נוספת כמו זו שכבר חוותה לפני שנה.",סגר חשבון,לסגור את החשבון,30,45,6,9,24,מילולי,0,O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,0000000000000000000000000000001111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1030,train,he,inhouse,ניגשתי לבנק וסגרתי את החשבון הישן שלי.,סגר חשבון,וסגרתי את החשבון,12,28,2,5,7,מילולי,0,O O B-IDIOM I-IDIOM I-IDIOM O O,00000000000011111111111111110000000000
1031,train,he,inhouse,"תבדקי קודם אם את יכולה לשנות את ההגדרות ואל תסגרי חשבון באפליקציה רק מתוך תסכול, כי לפעמים פתרון טכני פשוט יותר חוסך הרבה זמן ועצבים.",סגר חשבון,תסגרי חשבון,44,55,9,11,25,מילולי,0,O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O,0000000000000000000000000000000000000000000011111111111000000000000000000000000000000000000000000000000000000000000000000000000000000
1032,train,he,inhouse,אבא שלו סגר חשבון בבנק אחרי שפתח לו אחד חדש.,סגר חשבון,סגר חשבון,8,17,2,4,10,מילולי,0,O O B-IDIOM I-IDIOM O O O O O O,00000000111111111000000000000000000000000000
1033,train,he,inhouse,"הילד ביקש לסגור את החשבון הפרטי שלו לפני המעבר לחו""ל, כי הבין שהחשבון הבנקאי המקומי לא יוכל לשרת אותו בעבודה החדשה עם משכורת במטבע זר.",סגר חשבון,לסגור את החשבון,10,25,2,5,25,מילולי,0,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,00000000001111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1034,train,he,inhouse,בני הזוג הנשואים סגרו את החשבון המשותף לאחר הגירושים.,סגר חשבון,סגרו את החשבון,17,31,3,6,9,מילולי,0,O O O B-IDIOM I-IDIOM I-IDIOM O O O,00000000000000000111111111111110000000000000000000000
1035,train,he,inhouse,"כשפשט את הרגל אחרי כשלון ומצב כלכלי קשה, סגרנו את החשבון כי לא האמנו שהוא יצליח להתאושש מנפילה כזאת.",סגר חשבון,סגרנו את החשבון,41,56,8,11,19,מילולי,0,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O,0000000000000000000000000000000000000000011111111111111100000000000000000000000000000000000000000000
1036,train,he,inhouse,הוא נכנס לסניף כדי לסגור את החשבון הפיקטיבי שהיה לו.,סגר חשבון,לסגור את החשבון,19,34,4,7,10,מילולי,0,O O O O B-IDIOM I-IDIOM I-IDIOM O O O,0000000000000000000111111111111111000000000000000000
1037,train,he,inhouse,המנהלת ביקשה לסגור את החשבון הפנימי של האדם שהורשע כפושע.,סגר חשבון,לסגור את החשבון,13,28,2,5,10,מילולי,0,O O B-IDIOM I-IDIOM I-IDIOM O O O O O,000000000000011111111111111100000000000000000000000000000
1038,test,he,inhouse,"אם האבא לא היה יוזם פגישה עם הנהלת הבנק כדי לסגור את החשבון ולפתוח חיסכון ייעודי לילד, הם לא היו מצליחים לממן לו את טיול החלומות לאירופה בקיץ לבר מצווה.",סגר חשבון,לסגור את החשבון,44,59,10,13,30,מילולי,0,O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,00000000000000000000000000000000000000000000111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1039,train,he,inhouse,היא ביקשה לסגור את החשבון באתר שלהם בגלל אבטחת מידע.,סגר חשבון,לסגור את החשבון,10,25,2,5,10,מילולי,0,O O B-IDIOM I-IDIOM I-IDIOM O O O O O,0000000000111111111111111000000000000000000000000000
1040,train,he,inhouse,"אם הוא לא היה שם לי רגליים בעבודה בכל פעם שהתקרבתי להצלחה, אולי הייתי מקבל סוף סוף את הקידום שמגיע לי במקום להיתקע שוב באותה מחלקה.",שם רגליים,שם לי רגליים,14,26,4,7,26,פיגורטיבי,1,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,00000000000000111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1041,train,he,inhouse,"אל תתני להם לשים לך רגליים בקבוצת הכדורסל – תראי לכולם שמי שמפחד מתחרות, כנראה יודע שאת באמת השחקנית הכי טובה על המגרש.",שם רגליים,לשים לך רגליים,12,26,3,6,23,פיגורטיבי,1,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,00000000000011111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1042,train,he,inhouse,"כשהמתחרים הבינו שהוא טוב מהם, שמו לו רגליים וניסו לעצור אותו מניצחונות.",שם רגליים,שמו לו רגליים,30,43,5,8,12,פיגורטיבי,1,O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,00000000000000000000000000000011111111111110000000000000000000000000000
1043,train,he,inhouse,היא קינאה בא וביופי שלה ולכן שמה לה רגליים.,שם רגליים,שמה לה רגליים,29,42,6,9,9,פיגורטיבי,1,O O O O O O B-IDIOM I-IDIOM I-IDIOM,0000000000000000000000000000011111111111110
1044,train,he,inhouse,"זה מה שכולם עושים פה כדי לקבל הטבות ולהתקדם, ״שים לו רגליים״ אמר לו הקולגה לעבודה.",שם רגליים,שים לו רגליים,46,59,9,12,16,פיגורטיבי,1,O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,0000000000000000000000000000000000000000000000111111111111100000000000000000000000
1045,train,he,inhouse,"הוא לא קיבל את התפקיד הנחשק בחברה רק כי קולגה שם לו רגליים מאחורי הקלעים, מה שממחיש שוב כמה עולם העסקים לפעמים רחוק ממשחק הוגן.",שם רגליים,שם לו רגליים,46,58,10,13,25,פיגורטיבי,1,O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,0000000000000000000000000000000000000000000000111111111111000000000000000000000000000000000000000000000000000000000000000000000
1046,train,he,inhouse,לא עמדנו בזמנים בכל שלב בפרויקט כי שמו לנו רגליים.,שם רגליים,שמו לנו רגליים,35,49,7,10,10,פיגורטיבי,1,O O O O O O O B-IDIOM I-IDIOM I-IDIOM,00000000000000000000000000000000000111111111111110
1047,test,he,inhouse,"אם הוא ממשיך להאמין שכולם שמים לו רגליים גם כשזה לא נכון, אולי הבעיה לא בסביבה אלא בפרשנות שלו למציאות ובחוסר האמון שהוא מפתח בכל אדם סביבו.",שם רגליים,שמים לו רגליים,26,40,5,8,27,פיגורטיבי,1,O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,00000000000000000000000000111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1048,train,he,inhouse,המנהל לשעבר שם לו רגליים כדי שלא יתקדם ויעקוף אותו בדרגה בעבודה.,שם רגליים,שם לו רגליים,12,24,2,5,12,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,0000000000001111111111110000000000000000000000000000000000000000
1049,train,he,inhouse,"לפעמים רוצים לבדוק אם יש לך את החוסן לקום מחדש אז שמים לך רגליים, זה לא בהכרח כדי לפגוע, אבל זו גם הדרך של החיים לסנן את מי שלא בנויים לריצה ארוכה.",שם רגליים,שמים לך רגליים,50,64,11,14,32,פיגורטיבי,1,O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O,000000000000000000000000000000000000000000000000001111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000
1050,validation,he,inhouse,"למרות שהבטיח לעזור לי, הוא שם לי רגליים בדיוק כשזה היה חשוב.",שם רגליים,שם לי רגליים,27,39,5,8,12,פיגורטיבי,1,O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,000000000000000000000000000111111111111000000000000000000000
1051,train,he,inhouse,"רק כי לא רצתה שהוא יצליח בלעדיה, היא שמה רגליים לפרויקט.",שם רגליים,שמה רגליים,37,47,8,10,11,פיגורטיבי,1,O O O O O O O O B-IDIOM I-IDIOM O,00000000000000000000000000000000000001111111111000000000
1052,train,he,inhouse,"מי שבונה את ההצלחה שלו על כישלון של מישהו אחרת בסוף נופל בעצמו באותה בור, אל תשים רגליים לאחרים רק כי אתה חש מאוים.",שם רגליים,תשים רגליים,77,88,16,18,24,פיגורטיבי,1,O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O,0000000000000000000000000000000000000000000000000000000000000000000000000000011111111111000000000000000000000000000
1053,train,he,inhouse,"ניסיתי לקדם רעיון חדש, אבל שמו לי רגליים מאחורי הגב בלי שאדע.",שם רגליים,שמו לי רגליים,27,40,5,8,12,פיגורטיבי,1,O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,0000000000000000000000000001111111111111000000000000000000000
1054,test,he,inhouse,"ברגע שהבינה שהיא לא בתמונה, היא שמה רגליים לצוות ונטשה.",שם רגליים,שמה רגליים,32,42,6,8,10,פיגורטיבי,1,O O O O O O B-IDIOM I-IDIOM O O,0000000000000000000000000000000011111111110000000000000
1055,train,he,inhouse,"אם הוא לא היה נתקל במתחרים ששמו לו רגליים בכל שלב בהקמת הסטארטאפ, ייתכן שכבר היה עומד בראש אחת החברות החדשניות בשוק הישראלי.",שם רגליים,ששמו לו רגליים,27,41,6,9,23,פיגורטיבי,1,O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O,0000000000000000000000000001111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000
1056,train,he,inhouse,"היא לא הפסידה בבחירות בגלל המסרים שלה, אלא כי היריבים שמו לה רגליים מאחורי הקלעים והשפיעו על דעת הקהל דרך קמפיין של דיסאינפורמציה.",שם רגליים,שמו לה רגליים,54,67,10,13,23,פיגורטיבי,1,O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,0000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000000000000000000000000000000
1057,train,he,inhouse,"שאר העובדים בחברה שמים לו רגליים בפרויקט, כי ההצלחה שלו מאיימת על אחרים.",שם רגליים,שמים לו רגליים,18,32,3,6,13,פיגורטיבי,1,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,000000000000000000111111111111110000000000000000000000000000000000000000
1058,validation,he,inhouse,המנהל הבכיר שהיה ממונה עליה שם לה רגליים במקום לעזור לה להצליח.,שם רגליים,שם לה רגליים,28,40,5,8,12,פיגורטיבי,1,O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,000000000000000000000000000011111111111100000000000000000000000
1059,train,he,inhouse,כל בעלי הבסטות בשוק הכרמל שמו רגליים זה לזה מתוך קנאה אישית מתמשכת.,שם רגליים,שמו רגליים,26,36,5,7,13,פיגורטיבי,1,O O O O O B-IDIOM I-IDIOM O O O O O O,0000000000000000000000000011111111110000000000000000000000000000000
1060,validation,he,inhouse,"אל תחשבי ששמים לך רגליים רק כי את אישה, אלא תשתמשי בזה ככוח להוכיח שיכולת מקצועית חזקה יותר מכל דעה קדומה בעולם העסקי הגברי.",שם רגליים,ששמים לך רגליים,9,24,2,5,24,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,0000000001111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1061,train,he,inhouse,כל חברי הדירקטוריון המשוחדים שמו לו רגליים בוועדה כדי שלא יקבל את הקידום המיוחל.,שם רגליים,שמו לו רגליים,29,42,4,7,14,פיגורטיבי,1,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,00000000000000000000000000000111111111111100000000000000000000000000000000000000
1062,validation,he,inhouse,"פוליטיקאים לרוב במקום לעבוד למען הציבור, שמים רגליים ליריבים השונים כדי להגיע לנצחון בבחירות הבאות.",שם רגליים,שמים רגליים,41,52,6,8,15,פיגורטיבי,1,O O O O O O B-IDIOM I-IDIOM O O O O O O O,000000000000000000000000000000000000000001111111111100000000000000000000000000000000000000000000000
1063,train,he,inhouse,העובדים הוותיקים שמו לו רגליים כי פחדו מהרעיון החדשני שהציע.,שם רגליים,שמו לו רגליים,17,30,2,5,10,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O,000000000000000001111111111111000000000000000000000000000000
1064,train,he,inhouse,"אם המורה לא הייתה שמה לי רגליים ומציינת רק את הטעויות שלי, אולי הייתי מאמין בעצמי יותר ומצליח לשפר את הציונים במקום לפחד מכל מבחן.",שם רגליים,שמה לי רגליים,18,31,4,7,25,פיגורטיבי,1,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O,0000000000000000001111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1065,train,he,inhouse,"היא האמינה שחבריה הקרובים שמו לה רגליים כשהפיצו שמועות, אבל כשהתבררה האמת, היא הבינה שהפחד שלה מאכזבה גרם לה לאבד אמון באנשים שאהבו אותה באמת.",שם רגליים,שמו לה רגליים,26,39,4,7,25,פיגורטיבי,1,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O,0000000000000000000000000011111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1066,train,he,inhouse,"המערכת כולה שמה לו רגליים, ובכל זאת הוא לא ויתר.",שם רגליים,שמה לו רגליים,12,25,2,5,10,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O,000000000000111111111111100000000000000000000000
1067,train,he,inhouse,"המדריך בכוונה רצה לבדוק אם יעמדו באתגר, הוא מצא דרכים שונות להקשות, הוא שם להם רגליים ורק מי שהמשיך קדימה למרות הנפילה, הוכיח שהוא ראוי להוביל אחרים.",שם רגליים,שם להם רגליים,72,85,13,16,27,פיגורטיבי,1,O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O,00000000000000000000000000000000000000000000000000000000000000000000000011111111111110000000000000000000000000000000000000000000000000000000000000000
1068,test,he,inhouse,נמאס לי ששמים לי רגליים בכל ניסיון לשנות משהו בבית הספר.,שם רגליים,ששמים לי רגליים,8,23,2,5,11,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O,00000000111111111111111000000000000000000000000000000000
1069,train,he,inhouse,היא האשימה את העיתונאים ששמו לה רגליים והרסו את שמה הטוב.,שם רגליים,ששמו לה רגליים,24,38,4,7,11,פיגורטיבי,1,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,000000000000000000000000111111111111110000000000000000000
1070,train,he,inhouse,"אם הם לא היו שמים לו רגליים במכרז, הוא היה זוכה בו בקלות, והפרויקט היה עובר לידיים צעירות עם רעיונות חדשניים במקום להישאר בידי השמרנים.",שם רגליים,שמים לו רגליים,13,27,4,7,25,פיגורטיבי,1,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O,000000000000011111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1071,train,he,inhouse,הוא טען שכל מי שלא מסכים איתו בעצם שם לו רגליים.,שם רגליים,שם לו רגליים,35,47,8,11,11,פיגורטיבי,1,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM,000000000000000000000000000000000001111111111110
1072,train,he,inhouse,"היא ניסתה להעביר את הצעת החוק החברתית שלה, אבל כל פעם מחדש שמו לה רגליים, עד שהבינה שהמערכת הפוליטית משחקת על זמן ולא על צדק.",שם רגליים,שמו לה רגליים,59,72,12,15,25,פיגורטיבי,1,O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,00000000000000000000000000000000000000000000000000000000000111111111111100000000000000000000000000000000000000000000000000000
1073,train,he,inhouse,הוא אמר שחבריו שמו לו רגליים רק בגלל שהצליח יותר.,שם רגליים,שמו לו רגליים,15,28,3,6,10,פיגורטיבי,1,O O O B-IDIOM I-IDIOM I-IDIOM O O O O,0000000000000001111111111111000000000000000000000
1074,train,he,inhouse,"המנהל החדש לא שם רגליים, אלא תמך בי בניגוד לקודמו.",שם רגליים,שם רגליים,14,23,3,5,10,פיגורטיבי,1,O O O B-IDIOM I-IDIOM O O O O O,00000000000000111111111000000000000000000000000000
1075,train,he,inhouse,כמה פעמים לאורך הדרך שמו לנו רגליים אבל הצלחנו לעמוד במשימה.,שם רגליים,שמו לנו רגליים,21,35,4,7,11,פיגורטיבי,1,O O O O B-IDIOM I-IDIOM I-IDIOM O O O O,000000000000000000000111111111111110000000000000000000000000
1076,train,he,inhouse,היא טענה ששמו לה רגליים בקבוצת הכדורגל כדי שלא תבלוט.,שם רגליים,ששמו לה רגליים,9,23,2,5,10,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O,00000000011111111111111000000000000000000000000000000
1077,train,he,inhouse,"הוא הודה ששמו לו רגליים, אבל קיבל את זה כחלק מהמשחק.",שם רגליים,ששמו לו רגליים,9,23,2,5,11,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O O,0000000001111111111111100000000000000000000000000000
1078,test,he,inhouse,"אל תיתן להם לשים לך רגליים בבית או בעבודה – תקום, תבנה לעצמך מסלול חדש, ותוכיח שאף מכשול לא גדול מדי למי שלא מפסיק ללכת קדימה.",שם רגליים,לשים לך רגליים,12,26,3,6,26,פיגורטיבי,1,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,000000000000111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1079,train,he,inhouse,"הוא סיכם: ""שמים לי רגליים, אבל זה רק מחזק אותי"".",שם רגליים,שמים לי רגליים,11,25,2,5,10,פיגורטיבי,1,O O B-IDIOM I-IDIOM I-IDIOM O O O O O,000000000001111111111111100000000000000000000000
1080,train,he,inhouse,"אם הילד לא היה שם רגליים על הכיסא באמצע השיעור, האם המורה הייתה בכלל שמה לב אליו, או שהיה נשאר שקוף כמו תמיד מאחורי התלמידים הרועשים?",שם רגליים,שם רגליים,15,24,4,6,26,מילולי,0,O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,0000000000000001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1081,train,he,inhouse,היא שמה רגליים במים הקרים של הנחל וחייכה.,שם רגליים,שמה רגליים,4,14,1,3,8,מילולי,0,O B-IDIOM I-IDIOM O O O O O,00001111111111000000000000000000000000000
1082,train,he,inhouse,"כשאתה במשרד פתוח אל תשים רגליים על שולחן העבודה שלך, זה אולי נראה נוח, אבל זה מסמן חוסר כבוד למקום העבודה ולצוות שסביבך.",שם רגליים,תשים רגליים,20,31,4,6,23,מילולי,0,O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,000000000000000000001111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1083,train,he,inhouse,הם שכבו על החול ושמו רגליים אחד על השני בצחוק.,שם רגליים,ושמו רגליים,16,27,4,6,10,מילולי,0,O O O O B-IDIOM I-IDIOM O O O O,0000000000000000111111111110000000000000000000
1084,train,he,inhouse,"האם הילדה באמת אשמה ששמה רגליים על הספסל והתנדנדה קדימה ואחורה, או שאולי פשוט ניסתה לשבור את השעמום האינסופי בזמן ההמתנה הארוכה במרפאה?",שם רגליים,ששמה רגליים,20,31,4,6,23,מילולי,0,O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,000000000000000000001111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1085,train,he,inhouse,הוא שם רגליים בכיור כדי לשטוף את הבוץ.,שם רגליים,שם רגליים,4,13,1,3,8,מילולי,0,O B-IDIOM I-IDIOM O O O O O,00001111111110000000000000000000000000
1086,train,he,inhouse,סבתא שלי הביטה החוצה מחדרה ואז שמה רגליים על אדן החלון כדי לטפס גבוה יותר ולראות טוב יותר.,שם רגליים,שמה רגליים,31,41,6,8,18,מילולי,0,O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O,000000000000000000000000000000011111111110000000000000000000000000000000000000000000000000
1087,test,he,inhouse,הילד שם רגליים על הקיר והשאיר סימני נעליים.,שם רגליים,שם רגליים,5,14,1,3,8,מילולי,0,O B-IDIOM I-IDIOM O O O O O,0000011111111100000000000000000000000000000
1088,train,he,inhouse,הרופא אמר שזה מזיק לזרימת הדם זה ששמתי רגליים על הכרית כדי להתמקם טוב יותר ומאז אני נזהר לעשות את זה רק לכמה דקות.,שם רגליים,ששמתי רגליים,33,45,7,9,24,מילולי,0,O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O,000000000000000000000000000000000111111111111000000000000000000000000000000000000000000000000000000000000000000000
